Name,X,Y
ctg7180000067446_Component#_1,19.176325,-3.176635
ctg7180000067450_Component#_1,3.384047,74.080414
ctg7180000067453_Component#_1,-8.492075,-6.213049
ctg7180000067454_Component#_1,-5.38674,-4.876743
ctg7180000067454_Component#_2,-25.178043,2.6005878
ctg7180000067454_Component#_3,-3.2328737,-10.749507
ctg7180000067454_Component#_4,-1.633777,72.244865
ctg7180000067457_Component#_3,-3.1447139,-15.2147665
ctg7180000067460_Component#_1,19.219748,-5.771054
ctg7180000067468_Component#_2,-4.051594,-14.795946
ctg7180000067471_Component#_1,11.270287,-1.3417002
ctg7180000067511_Component#_1,4.323017,71.3115
ctg7180000067512_Component#_1,-32.764393,5.8621
ctg7180000067526_Component#_2,4.3676734,73.290436
ctg7180000067530_Component#_1,-23.846504,1.7354177
ctg7180000067530_Component#_2,35.82041,10.223419
ctg7180000067545_Component#_1,-7.136671,68.463585
ctg7180000067567_Component#_2,39.4355,10.719623
ctg7180000067568_Component#_1,-2.4574726,71.37183
ctg7180000067595_Component#_1,28.193542,1.812049
ctg7180000067604_Component#_1,30.763588,7.616839
ctg7180000067612_Component#_1,-7.304606,-7.365077
ctg7180000067635_Component#_1,-27.026701,-3.0523982
ctg7180000067642_Component#_1,-7.416717,-5.2201624
ctg7180000067663_Component#_1,-2.6904864,-0.4423103
ctg7180000067667_Component#_1,-3.105992,-15.728007
ctg7180000067710_Component#_1,35.581543,9.402594
ctg7180000067739_Component#_2,-4.1376414,-9.014824
ctg7180000067742_Component#_1,-3.3601098,64.00328
ctg7180000067744_Component#_1,-7.3012743,71.08364
ctg7180000067761_Component#_1,-9.5241165,2.5699086
ctg7180000067763_Component#_1,28.5921,8.183837
ctg7180000067776_Component#_1,34.936607,8.922212
ctg7180000067806_Component#_1,23.326752,2.8030305
ctg7180000067806_Component#_2,36.878643,8.588118
ctg7180000067808_Component#_1,-8.044376,-2.020074
ctg7180000067868_Component#_2,-22.529577,-3.1661353
ctg7180000067872_Component#_1,21.82816,0.4205409
ctg7180000067873_Component#_1,-5.386728,-4.876629
ctg7180000067904_Component#_1,-4.901036,-11.0335
ctg7180000067907_Component#_1,9.9497385,-4.5426397
ctg7180000067909_Component#_1,0.5110608,-2.300988
ctg7180000067910_Component#_1,-23.080475,3.42551
ctg7180000067910_Component#_2,6.3834643,2.5398288
ctg7180000067913_Component#_2,-3.0825105,-1.0553656
ctg7180000067913_Component#_3,13.873513,-1.8268791
ctg7180000067915_Component#_1,11.639001,3.3078854
ctg7180000067949_Component#_1,5.3219943,-4.1363745
ctg7180000067954_Component#_1,33.08411,7.7365956
ctg7180000067975_Component#_1,-10.926551,-5.9789367
ctg7180000067979_Component#_1,3.5920804,3.5479994
ctg7180000067983_Component#_1,6.8979416,0.28706953
ctg7180000067984_Component#_1,10.307514,4.3484926
ctg7180000067989_Component#_1,1.5779197,-2.501416
ctg7180000068008_Component#_1,-26.114412,2.8835073
ctg7180000068022_Component#_1,-1.4622749,63.412926
ctg7180000068022_Component#_2,21.453772,-1.9322995
ctg7180000068032_Component#_1,-0.5647121,-4.259361
ctg7180000068033_Component#_1,20.756124,-4.0053406
ctg7180000068036_Component#_1,-1.5252696,-2.719815
ctg7180000068036_Component#_2,-26.393995,4.5668306
ctg7180000068039_Component#_1,-30.297237,5.370696
ctg7180000068077_Component#_1,-3.0399766,64.36071
ctg7180000068081_Component#_1,15.102687,4.3276806
ctg7180000068088_Component#_2,-33.18001,8.639019
ctg7180000068097_Component#_1,-3.650218,-14.298132
ctg7180000068131_Component#_1,34.222862,9.07292
ctg7180000068139_Component#_2,-4.272112,-7.366226
ctg7180000068139_Component#_3,4.1745744,74.030365
ctg7180000068143_Component#_1,-33.093754,6.8962607
ctg7180000068181_Component#_1,0.21199779,-5.464263
ctg7180000068183_Component#_2,-23.291348,0.87121314
ctg7180000068184_Component#_1,-27.026978,-4.100846
ctg7180000068184_Component#_2,-3.696524,-15.428404
ctg7180000068190_Component#_1,-31.954548,8.610133
ctg7180000068193_Component#_2,11.270287,-1.3417002
ctg7180000068195_Component#_1,-6.4738016,73.39428
ctg7180000068245_Component#_1,21.671688,5.8614016
ctg7180000068246_Component#_1,1.8845261,71.95709
ctg7180000068250_Component#_2,-9.917619,-0.25800395
ctg7180000068254_Component#_1,-6.408375,70.92093
ctg7180000068306_Component#_1,-30.051512,6.1824737
ctg7180000068309_Component#_1,10.580366,-2.8117557
ctg7180000068312_Component#_1,37.903446,11.943921
ctg7180000068338_Component#_1,-3.0473335,-10.784033
ctg7180000068364_Component#_1,-3.1544147,-11.883127
ctg7180000068368_Component#_1,5.6538754,-5.927784
ctg7180000068368_Component#_2,-6.0132527,-10.161409
