Name,X,Y
ctg7180000067983_Component#_1,-4.928511,-10.129735
ctg7180000067984_Component#_1,-2.8561435,-15.130977
ctg7180000067989_Component#_1,-7.050136,-4.8529377
ctg7180000068008_Component#_1,-29.786598,17.38346
ctg7180000068022_Component#_1,-14.943609,21.350569
ctg7180000068022_Component#_2,7.800356,-17.032038
ctg7180000068032_Component#_1,-8.481238,-2.2437212
ctg7180000068033_Component#_1,5.6502647,-16.806906
ctg7180000068036_Component#_1,-10.233724,-3.1708577
ctg7180000068036_Component#_2,-29.465784,19.100279
ctg7180000068039_Component#_1,-32.62312,21.046227
ctg7180000068077_Component#_1,-8.464342,-15.449259
ctg7180000068081_Component#_1,-0.3231643,-16.518236
ctg7180000068088_Component#_2,-32.830856,25.99838
ctg7180000068097_Component#_1,-4.8544264,8.169897
ctg7180000068131_Component#_1,13.638834,-32.46656
ctg7180000068139_Component#_2,-12.278085,5.484874
ctg7180000068139_Component#_3,65.76832,15.486266
ctg7180000068143_Component#_1,-32.002014,24.340494
ctg7180000068181_Component#_1,-7.536427,-0.7147129
ctg7180000068183_Component#_2,-26.186468,17.52307
ctg7180000068184_Component#_1,-27.74024,9.089615
ctg7180000068184_Component#_2,-3.8557837,7.9067683
ctg7180000068190_Component#_1,-33.66,25.568933
ctg7180000068193_Component#_2,-0.09180348,-10.011558
ctg7180000068195_Component#_1,56.94232,21.024591
ctg7180000068245_Component#_1,4.3841324,-22.323109
ctg7180000068246_Component#_1,64.56611,17.936176
ctg7180000068250_Component#_2,-18.967505,-0.41378194
ctg7180000068254_Component#_1,54.649853,18.94583
ctg7180000068306_Component#_1,-32.012318,21.631706
ctg7180000068309_Component#_1,-0.33582446,-8.325159
ctg7180000068312_Component#_1,18.41704,-32.53082
ctg7180000068338_Component#_1,-8.787187,7.483313
ctg7180000068364_Component#_1,-7.720161,8.016012
ctg7180000068368_Component#_1,-2.492245,-5.5236373
ctg7180000068368_Component#_2,-8.289421,4.980295
ctg7180000068400_Component#_1,-2.718068,6.8257794
ctg7180000068404_Component#_1,-17.605371,-1.6829
ctg7180000068482_Component#_1,66.90965,16.463625
ctg7180000068483_Component#_1,-25.672358,8.33367
ctg7180000068484_Component#_2,3.5751011,-14.95989
ctg7180000068490_Component#_1,5.6961675,-24.31347
ctg7180000068503_Component#_1,10.260299,-24.119482
ctg7180000068511_Component#_1,-1.756642,-9.6861925
ctg7180000068550_Component#_1,2.8006663,-21.787321
ctg7180000068637_Component#_1,64.72517,14.394281
ctg7180000068644_Component#_1,-7.561935,4.284395
ctg7180000068653_Component#_1,-3.4078598,-4.752469
ctg7180000068703_Component#_1,-30.575857,20.952194
ctg7180000068726_Component#_1,-29.505976,20.556366
ctg7180000068756_Component#_2,-29.4881,16.004007
ctg7180000068760_Component#_1,11.516592,-20.729815
ctg7180000068795_Component#_2,-7.537288,-0.71480507
ctg7180000068814_Component#_1,0.42473716,-17.072784
ctg7180000068815_Component#_1,-33.828476,22.710175
ctg7180000068836_Component#_1,5.5219727,-25.240057
ctg7180000068886_Component#_1,16.082472,-29.758005
ctg7180000068903_Component#_1,66.1426,16.093618
ctg7180000068907_Component#_1,10.0923395,-27.864088
ctg7180000068934_Component#_1,-6.7032995,8.1362705
ctg7180000068981_Component#_1,64.56611,17.936176
