Name,X,Y
ctg7180000067382_Component#_1,-1.149557457,-0.202691306
ctg7180000067382_Component#_2,-1.164560204,1.430181999
ctg7180000067397_Component#_1,-1.279830743,-0.255525731
ctg7180000067398_Component#_1,-1.411868449,1.149024722
ctg7180000067398_Component#_2,5.276856007,-2.305065717
ctg7180000067403_Component#_1,-1.736119798,0.493387533
ctg7180000067405_Component#_1,5.499194913,-2.075387791
ctg7180000067411_Component#_1,-1.056422649,1.354752222
ctg7180000067413_Component#_1,-0.07553148,-1.126975431
ctg7180000067416_Component#_1,-1.545218833,-0.315579924
ctg7180000067416_Component#_2,-1.360928167,-0.281208136
ctg7180000067417_Component#_1,-1.277273434,-0.246070857
ctg7180000067417_Component#_2,-0.499066553,-1.537430579
ctg7180000067419_Component#_2,0.473832316,-0.738863367
ctg7180000067423_Component#_1,-1.123721399,1.411300012
ctg7180000067434_Component#_1,-1.435585068,1.297256868
ctg7180000067441_Component#_1,5.528869686,-1.969836442
ctg7180000067446_Component#_1,-1.339826455,1.319048398
ctg7180000067450_Component#_1,5.533679944,-1.980847713
ctg7180000067453_Component#_1,-1.347483924,-0.274256047
ctg7180000067454_Component#_1,-1.406715916,-0.269850139
ctg7180000067454_Component#_2,-0.172931336,-1.272203457
ctg7180000067454_Component#_3,-1.575620468,-0.32626267
ctg7180000067454_Component#_4,5.415983066,-2.216641812
ctg7180000067457_Component#_3,-1.469774163,-0.341618314
ctg7180000067460_Component#_1,-1.405174617,1.251375553
ctg7180000067468_Component#_2,-1.481260674,-0.346801761
ctg7180000067471_Component#_1,-1.678583872,0.924384855
ctg7180000067511_Component#_1,5.524766973,-1.96731353
ctg7180000067512_Component#_1,-0.490126703,-1.547051427
ctg7180000067526_Component#_2,5.539780069,-1.956913068
ctg7180000067530_Component#_1,-0.150078285,-1.242771595
ctg7180000067530_Component#_2,-1.042874778,1.382736754
ctg7180000067545_Component#_1,5.043514429,-2.422277227
ctg7180000067567_Component#_2,-1.053118262,1.34583335
ctg7180000067568_Component#_1,5.344590567,-2.302979996
ctg7180000067595_Component#_1,-1.141400514,1.419364728
ctg7180000067604_Component#_1,-1.106625104,1.394960672
ctg7180000067612_Component#_1,-1.486202031,-0.285147324
ctg7180000067635_Component#_1,0.507514927,-0.681840386
ctg7180000067642_Component#_1,-1.361764129,-0.27921692
ctg7180000067663_Component#_1,-1.591251018,0.453324986
ctg7180000067667_Component#_1,-1.4666774,-0.339342688
ctg7180000067710_Component#_1,-1.04667537,1.386952442
ctg7180000067739_Component#_2,-1.520829178,-0.297819352
ctg7180000067742_Component#_1,5.288444663,0.196689403
ctg7180000067744_Component#_1,5.077419801,-2.477351196
ctg7180000067761_Component#_1,-1.264026049,-0.235575718
ctg7180000067763_Component#_1,-1.145799819,1.381101297
ctg7180000067776_Component#_1,-1.051619427,1.389874861
ctg7180000067806_Component#_1,-1.312458429,1.386227898
ctg7180000067806_Component#_2,-1.053205931,1.365339743
ctg7180000067808_Component#_1,-1.210229497,-0.228550854
ctg7180000067868_Component#_2,0.444966449,-0.742949653
ctg7180000067872_Component#_1,-1.330623955,1.347913601
ctg7180000067873_Component#_1,-1.406715916,-0.269850139
ctg7180000067904_Component#_1,-1.541089419,-0.344348257
ctg7180000067907_Component#_1,-1.493757269,0.78128391
ctg7180000067909_Component#_1,-1.711142737,0.458651743
ctg7180000067910_Component#_1,-0.085427297,-1.120747545
ctg7180000067910_Component#_2,-1.421546284,1.092307082
ctg7180000067913_Component#_2,-1.396975421,0.394664027
ctg7180000067913_Component#_3,-1.540626141,1.162208047
ctg7180000067915_Component#_1,-1.651164086,0.952327958
ctg7180000067949_Component#_1,-1.750766093,0.528275612
ctg7180000067954_Component#_1,-1.071834603,1.398448222
ctg7180000067975_Component#_1,-0.911784852,-0.227615404
ctg7180000067979_Component#_1,-1.374036051,1.037486609
ctg7180000067983_Component#_1,-1.689488064,0.924908802
ctg7180000067984_Component#_1,-1.649606746,0.954727047
ctg7180000067989_Component#_1,-1.718957991,0.460604187
ctg7180000068008_Component#_1,-0.18751122,-1.265458465
ctg7180000068022_Component#_1,4.022541346,-3.605223019
ctg7180000068022_Component#_2,-1.338084367,1.374040952
ctg7180000068032_Component#_1,-1.375257561,0.416670041
ctg7180000068033_Component#_1,-1.417191141,1.312578531
ctg7180000068036_Component#_1,-1.417236493,0.396882941
ctg7180000068036_Component#_2,-0.323166298,-1.415832025
ctg7180000068039_Component#_1,-0.405504928,-1.490107577
ctg7180000068077_Component#_1,5.296199261,0.194039007
ctg7180000068081_Component#_1,-1.586410047,0.929807375
ctg7180000068088_Component#_2,-0.480116087,-1.516520606
ctg7180000068097_Component#_1,-1.490934203,-0.35046361
ctg7180000068131_Component#_1,-1.054536958,1.393417427
ctg7180000068139_Component#_2,-1.335004551,-0.271791557
ctg7180000068139_Component#_3,5.549075288,-1.967204587
ctg7180000068143_Component#_1,-0.489058494,-1.536648147
ctg7180000068181_Component#_1,-1.360878614,0.418698908
ctg7180000068183_Component#_2,-0.133469404,-1.219138764
ctg7180000068184_Component#_1,0.506968568,-0.689150821
ctg7180000068184_Component#_2,-1.470963133,-0.342117382
ctg7180000068190_Component#_1,-0.480454641,-1.543254648
ctg7180000068193_Component#_2,-1.678583872,0.924384855
ctg7180000068195_Component#_1,5.477175006,-1.365171964
ctg7180000068245_Component#_1,-1.361607915,1.275514683
ctg7180000068246_Component#_1,5.519189136,-2.074380877
ctg7180000068250_Component#_2,-0.883677255,-0.220614993
ctg7180000068254_Component#_1,5.4336534,-1.410107927
ctg7180000068306_Component#_1,-0.431537631,-1.490697309
ctg7180000068309_Component#_1,-1.637232201,0.877722247
ctg7180000068312_Component#_1,-1.047230169,1.360294149
ctg7180000068338_Component#_1,-1.573181386,-0.330399794
ctg7180000068364_Component#_1,-1.551250792,-0.342114682
ctg7180000068368_Component#_1,-1.759851359,0.525745798
ctg7180000068368_Component#_2,-1.564670667,-0.319802644
ctg7180000068400_Component#_1,-1.452002149,-0.326643351
ctg7180000068404_Component#_1,-1.153885101,-0.207892727
ctg7180000068482_Component#_1,5.544199438,-1.976084076
ctg7180000068483_Component#_1,0.475910438,-0.705403338
ctg7180000068484_Component#_2,-1.531046029,1.213468589
ctg7180000068490_Component#_1,-1.282608031,1.339443737
ctg7180000068503_Component#_1,-1.186346799,1.428132841
ctg7180000068511_Component#_1,-1.687683433,0.93051096
ctg7180000068550_Component#_1,-1.406655199,1.147326455
ctg7180000068637_Component#_1,5.512679069,-1.984861308
ctg7180000068644_Component#_1,-1.5558523,-0.31086455
ctg7180000068653_Component#_1,-1.760227774,0.500576935
ctg7180000068703_Component#_1,-0.403741909,-1.479321634
ctg7180000068726_Component#_1,-0.328293116,-1.421419514
ctg7180000068756_Component#_2,-0.179331926,-1.258340901
ctg7180000068760_Component#_1,-1.207828822,1.417843186
ctg7180000068795_Component#_2,-1.360881462,0.418697867
ctg7180000068814_Component#_1,-1.591197279,0.92973946
ctg7180000068815_Component#_1,-0.467637677,-1.531857678
ctg7180000068836_Component#_1,-1.281042372,1.334575575
ctg7180000068886_Component#_1,-1.062973253,1.349281093
ctg7180000068903_Component#_1,5.550967465,-1.986879653
ctg7180000068907_Component#_1,-1.12142202,1.390455227
ctg7180000068934_Component#_1,-1.522655461,-0.3503771
ctg7180000068981_Component#_1,5.516362041,-2.081964775
ctg7180000068989_Component#_1,5.545739881,-2.001102104
ctg7180000068991_Component#_1,-1.232498827,1.376080604
ctg7180000069024_Component#_1,-1.566148507,0.921265946
ctg7180000069072_Component#_1,-1.176725838,1.395704576
ctg7180000069083_Component#_1,-1.648426848,0.452535038
ctg7180000069083_Component#_2,-1.442826926,1.299979914
ctg7180000069099_Component#_1,-1.121156729,1.3848707
ctg7180000069102_Component#_1,-1.426411552,0.389997758
ctg7180000069149_Component#_1,-1.33426158,1.316331909
ctg7180000069179_Component#_1,-1.521790495,-0.301770059
ctg7180000069189_Component#_1,-1.545431742,0.912842945
ctg7180000069200_Component#_1,5.359956307,0.455716468
ctg7180000069200_Component#_2,5.32446942,-2.336947138
ctg7180000069209_Component#_1,-1.092255535,1.398394288
ctg7180000069209_Component#_2,-1.452021994,0.840942382
ctg7180000069213_Component#_1,5.548560681,-2.066596615
ctg7180000069233_Component#_2,-1.244695377,1.337554124
ctg7180000069295_Component#_1,-0.45403355,-1.514611545
ctg7180000069298_Component#_1,-1.408828735,0.402477458
ctg7180000069305_Component#_1,5.426474872,-2.179685301
